annotation_ref;uncertain;bird;behaviour;location;others;association;notes
485;;I80;walking in tree, calls in background;d tree;T03;same tree;
486;;I80;perched, calls in background;d tree;T03;same tree;
487;;I80;flying away;d tree;T03;following;
488;;T03;flying away;d tree;I80;followed by;
489;;P75;perched;;;;
490;;K52;flying down in tree;d tree;;;
491;;S46;flying away;palm;;;
492;;S49;building in nest;30A1;;;
493;;S49;leaving nest;30A1;;;
494;;M12;being attacked by pigeon;ground;;;
495;;S21;perched;75A1;;;
496;;S21;chatter;75A1;;;
497;;S21;perched, calls in background;75A1;;;
498;;K28;foraging, call response;d tree;un;same tree;
499;;K28;perched, after cleaning beak, before flying off?;d tree;un;same tree;
500;;N74;perched, looking around;d tree;;;
501;;N74;perched, call response;d tree;;;
502;;N74;perched, calls in background;d tree;;;
503;;L08;perched, calls in background;d tree;;;
504;;L08;perched;d tree;;;
505;;L08;flying between trees;d tree;;;
506;;K80;flying out of nest;14A1;un;touching;
507;1;J13;perched;7;J46;same tree;
508;;J13;perched;7A4;J46;same tree;
509;;T71;leaving nest;10A3;R18;on top of nest;
510;;T71;perched, calls in background;d tree;;;
511;;R18;perched;9;T71;in nest;
512;;R18;just before take off;9;T71;in nest;
513;;R18;perched, calls in background;d tree;un, K70, U20;same tree;
514;;E01;perched, calls in background;d tree;alone;;
515;;K41;perched, calls in background;d tree;alone;;
516;;T71;foraging, berries in mouth, just before takeoff;palm;alone;;
517;;S48;perched, calls in background;d tree;alone;;
518;;S48;perched, looking down at me;d tree;;;
519;;S48;perched, looking around;d tree;;;
520;;S48;flying away;d tree;;;
521;;P76;perched;28E;;;
522;;J71;foraging, looking at me;pine;S58;same tree;
523;;J71;perched;pine;S58;same tree;
524;;J71;perched, call response;pine;S58;same tree;
525;;J71;perched, calls in background;pine;S58;same tree;
526;;J71;walking in tree;pine;S58;same tree;
527;;I06;perched, calls in background;;;;
528;;I06;flying away;d tree;alone;;
529;;T62;perched, calls in background;d tree;alone;;
530;;T97;perched;d tree;un, stump;same tree;
531;;S24;perched;d tree;;;
532;;S24;perched, calls in background;d tree;;;
533;;S24;foraging grass, calls in background;ground;;;
534;;S24;foraging grass, call response;ground;;;
535;;C55;perched;d tree;;;
536;;C55;flying away;d tree;un;following;
537;;S21;perched, calls in background;;;;
538;;S21;flying between trees;;;;
539;;988;perched, cleaning beak;d tree;J32, K49, un, un, un;same tree;
540;;R18;perched;d tree;alone;;
541;;R18;flying away;d tree;alone;;
542;;T71;perched above foraging flock;d tree;;;
543;;T71;flying away;d tree;UK, UK;following from ground;
544;;J03;perched;25A1;I94;arriving after calls;
545;;J03;perched, calls in background;25A1;I94;same nest;
546;;J21;perched;d tree;;;
547;;T44;at nest;35B;;;
548;;I65;perched;d tree;UK, UK;closeby, being fed;
549;;T86;perched, calls in background;d tree;alone;;
550;;T86;perched, looking around;d tree;alone;;
551;;T86;scared off by bike, flying;ground;;;
552;;R18;in nest, chatter;9A2;;;
553;;R18;in nest, calls in background;9A2;;;
554;;R18;in nest, head-bob;9A2;;;
555;;J13;in nest, chatter;7A1;J46;at same nest;
556;;J46;perched;7A1;J13;in same nest;
557;;J13;in nest, call response;7A1;J46;at same nest;
558;;J13;in nest, calls in background;7A1;J46;at same nest;
559;;T03;taking stick;palm;;;
560;;T03;flying away with stick;palm;;;
561;;P68;perched;d tree;;;
562;;P68;perched, calls in background;d tree;;;
563;;P68;flying down to water;d tree;S16, K64;at water;
564;;S16;perched, calls in background;d tree;;;
565;;S16;flying between branches;d tree;;;
566;;S15;perched;55A1;un;in nest;
567;;S57;before leaving nest;240;P69;at nest entry, following;
568;;N77;flying down from nest;24;;;
569;;N77;perched, calls in background;24;;;
570;;S26;perched, call response;d tree;;;
571;;S26;perched, call response, before flying down to foraging flock;d tree;;;
572;;K70;flying between trees;d tree;un, un;same tree;
573;;K70;before take off;d tree;un, un;same tree;
574;;S00;perched above foraging flock;d tree;T99, R20, S11, S07;foraging on ground;
575;;S00;perched, looking down at me;d tree;;;
576;;S00;perched above foraging flock;d tree;T99, S11;foraging on ground;
577;;S00;flying away;d tree;T99, S11;foraging on ground;
578;;M12;perched, calls in background;d tree;;;
579;;J78;perched, calls in background;37A;;;
580;;R83;perched, looking around;d tree;alone;;
581;;R83;flying between trees;d tree;alone;;
582;;S11;perched;d tree;alone;;
583;;S11;perched, calls in background, before flying away;d tree;alone;;
584;;R20;perched;d tree;alone;;
585;;R20;flying away;d tree;UK;following from other tree;
586;;L35;flying over square;air;;;
587;;L35;flying away;d tree;I49, un, un;same tree;
588;;I49;flying away;d tree;un;same tree;
589;;K80;building on nest;14A;;;
590;;K80;building on nest, call response;14A;;;
591;;J71;perched, looking around;d tree;;3 meters;
592;;J71;perched, looking at me;d tree;;3 meters;
593;;J71;perched;d tree;;3 meters;
594;;J71;flying away;d tree;;3 meters;
595;;L23;foraging;d tree;K46, P64, un, un;same tree;
596;;L23;flying away;d tree;;;
597;;I12;flying away;d tree;un, un, un;same tree;
598;;S49;walking towards nest;30A1; ;;
599;;S49;in nest;30A1;;;
600;;S24;perched, looking around;d tree;alone;;
601;;S24;flying between trees;d tree;alone;;
602;;S24;flying down;d tree;alone;;
603;;S24;perched;d tree;;;
604;;S24;perched, call response;d tree;;;
605;;S24;perched, calls in background;d tree;;;
606;;S24;displaced by pigeon;d tree;;;
607;;S24;flying between branches, after being displaced by pigeon;d tree;;;
608;;R63;taking stick;d tree;;;
609;;S30;perched, calls in background;d tree;T97, S56, S07;same tree;
610;;S07;flying away;d tree;UK;flying away together;
611;;S56;perched;d tree;un;same tree;
612;;S24;perched;d tree;;;
613;;S24;perched;d tree;UK;flying by;
614;;stump.with.H67;perched;d tree;H67;same tree;
615;;T27;perched, calls in background;d tree;;;
616;;E71;flying away;d tree;;;
617;;S25;flying up in tree with nut;d tree;un, un, un, un, K46;on ground;
618;;D86;perched;d tree;alone;;
619;;D86;perched, looking around;d tree;alone;;
620;;D86;flying away;d tree;alone;;
621;;T86;flying away;d tree;alone;;
622;;I49;perched, calls in background;d tree;;;
623;;I49;flying away;d tree;;;
624;;T97;perched;d tree;;;
625;;T97;perched, calls in background;d tree;;;
626;;T97;flying to nest palm;d tree;;;
627;;K70;perched;d tree;;;
628;;K70;perched, calls in background;d tree;;;
629;;K70;flying between trees, just before displacement;d tree;;;
630;;K70;perched;palm;S56;same tree;
631;;K70;perched, calls in background;palm;;;
